Store Company ID,Industry ID,Industry Name,Company Name,Address 1,City,State,Zip,Listing Type,Country,Phone,Google Link,reviews_scraped,difference,proportion,review_count,company_name
2000634159,51,Locations: Chain Restaurants,Blackjack Pizza,6225 E 71st Pl,COMMERCE CITY,CO,80022-2066,Location,United States of America,3032861770.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@39.8266507,-104.91557,17z/data=!3m1!4b1!4m5!3m4!1s0x876c7a0acc931a0b:0xa9fdb8fe42c5f7b1!8m2!3d39.8266507!4d-104.91557",0,-160.0,0.0,160.0,blackjack_pizza
2000634168,51,Locations: Chain Restaurants,Blackjack Pizza,6450 W 120th Ave,BROOMFIELD,CO,80020-2983,Location,United States of America,3034695221.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@39.9137609,-105.0687586,17z/data=!3m1!4b1!4m5!3m4!1s0x876b8a9067f22bb1:0x40396b41692866cf!8m2!3d39.9137609!4d-105.0687586",0,-132.0,0.0,132.0,blackjack_pizza
2000634172,51,Locations: Chain Restaurants,Blackjack Pizza,1075 E South Boulder Rd,LOUISVILLE,CO,80027-2560,Location,United States of America,3036650400.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@39.9873792,-105.1298839,17z/data=!3m1!4b1!4m5!3m4!1s0x876bf363eac5e741:0xbfba9e3e8924148c!8m2!3d39.9873792!4d-105.1298839",0,-117.0,0.0,117.0,blackjack_pizza
2000634156,51,Locations: Chain Restaurants,Blackjack Pizza,28245 S Tamiami Trl,BONITA SPRINGS,FL,34134-3221,Location,United States of America,2394953422.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@26.3256085,-81.8049072,17z/data=!3m1!4b1!4m5!3m4!1s0x88db190a1236b8f7:0xc3dbfffd5b115efc!8m2!3d26.3256085!4d-81.8049072",0,-161.0,0.0,161.0,blackjack_pizza
2000634157,51,Locations: Chain Restaurants,Blackjack Pizza,6465 W Colfax Ave,LAKEWOOD,CO,80214-1801,Location,United States of America,3032376200.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@39.7413906,-105.0666415,17z/data=!3m1!4b1!4m5!3m4!1s0x876b8724e8b6d0a3:0xa63fdbe4b61f0a5c!8m2!3d39.7413906!4d-105.0666415",0,-247.0,0.0,247.0,blackjack_pizza
2000634163,51,Locations: Chain Restaurants,Blackjack Pizza,4850 Chambers Rd,DENVER,CO,80239-5152,Location,United States of America,3033732111.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@39.7852737,-104.8094895,17z/data=!3m1!4b1!4m5!3m4!1s0x876c64f24ba66be9:0xed20c12fa9975806!8m2!3d39.7852737!4d-104.8094895",0,-197.0,0.0,197.0,blackjack_pizza
2000634167,51,Locations: Chain Restaurants,Blackjack Pizza,3023 Walnut St,BOULDER,CO,80301-2509,Location,United States of America,3034426677.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@40.0206928,-105.2531625,17z/data=!3m1!4b1!4m5!3m4!1s0x876bedd98f80200f:0xe1098799fec65e24!8m2!3d40.0206928!4d-105.2531625",0,-147.0,0.0,147.0,blackjack_pizza
2000634174,51,Locations: Chain Restaurants,Blackjack Pizza,7500 S University Blvd,CENTENNIAL,CO,80122-3194,Location,United States of America,3036943300.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@39.5800588,-104.9589639,17z/data=!3m1!4b1!4m5!3m4!1s0x876c83e1d14aef71:0xf4163822219f5bc6!8m2!3d39.5800588!4d-104.9589639",0,-107.0,0.0,107.0,blackjack_pizza
2000634175,51,Locations: Chain Restaurants,Blackjack Pizza,2443 S University Blvd,DENVER,CO,80210-5407,Location,United States of America,3037225222.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@39.6721643,-104.9598023,17z/data=!3m1!4b1!4m5!3m4!1s0x876c7e15015cbe59:0x4386fc16be707862!8m2!3d39.6721643!4d-104.9598023",0,-164.0,0.0,164.0,blackjack_pizza
2000634176,51,Locations: Chain Restaurants,Blackjack Pizza,2020 S Parker Rd,DENVER,CO,80231-5784,Location,United States of America,3037453800.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@39.6796044,-104.8757911,17z/data=!3m1!4b1!4m5!3m4!1s0x876c7d64499d99cb:0x398e098b335ec93c!8m2!3d39.6796044!4d-104.8757911",0,-176.0,0.0,176.0,blackjack_pizza
2000634177,51,Locations: Chain Restaurants,Blackjack Pizza,1888 S Garrison St,LAKEWOOD,CO,80232-6423,Location,United States of America,3037639933.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@39.6822855,-105.1001251,17z/data=!3m1!4b1!4m5!3m4!1s0x876b81a064d50ead:0x64531e8904bbd8a7!8m2!3d39.6822855!4d-105.1001251",0,-181.0,0.0,181.0,blackjack_pizza
